SongID,SongTitle,KeyName,Arranger,AsSungBy,LT_Provider,SongStyle,SongLength,Difficulty,Genre,Tempo,StartingWords
473,Ac-Cen-Tchu-ate the Positive,Bb,Nathan Johnston,Double Date,Double Date,,,,Movie,,
4,After You've Gone,Bb,Alan Siegal,AHB,Tim Waurick,Uptune,02:22,,,Uptune,Now won’t you listen honey while I say …
5,Ain't Misbehavin',Eb,Ed Waesche/Earl Moon,--,Tim Brooks,Medium,02:43,,,Medium,Any time I’m feeling lonely ...
487,Ain't That a Kick in the Head,F,Rich Hasty,City Lights,Tim Waurick,,02:42,,,,"How lucky can one guy be? I kissed her, and …"
6,Ain't We Got Fun,Bb,Robert Meyer,--,--,Uptune,,2,Barbershop Classics,Medium,We sing away our troubles and we have a lot ...
314,All I Do is Dream of You,C,David Wallace,--,Gary Lewis,Medium,02:53,,,Medium,Ba dm dm dm ... De oo ee oo ee oo ...
8,All of Me ,C,Scott Kitzmiller,Realtime,Simon Rylander,Uptune,02:08,4,Standard,Uptune,You took my kisses and you took my love …
444,All of Me,Db,Scott Kitzmiller,Realtime,Drew Wheaton,Uptune,02:05,4,Standard,Uptune,"You took my kisses, and you took my love …"
328,All the Pretty Little Horses,Eb,Mark Hale,Michigan Jake,Sonny Vande Putte,Ballad,02:03,,,Ballad,Doo doo doo ... hushabye don't you cry
9,All The Things You Are,G,Walter Latzko,Bluegrass Student Union,--,Ballad,03:28,,,Ballad,Time and again I've longed for adventure …
315,All the Things You Are,G,Scott Kitzmiller,Instant Classic,Kohl Kitzmiller,Medium,03:10,,,Medium,Time and Again I've Longed for Adventure ...
11,All the Way,Eb,Tom Gentry,Flipside,Tim Waurick,Ballad,04:20,,,Ballad,"How do I love thee, let me count the ways. …"
12,Almost Like Being In Love ,Bb,Eric King,Riptide,Tim Waurick,Uptune,01:33,2,Musical,Uptempo,"What a day this has been, what a rare mood …"
380,Almost Like Being in Love,E,David Harrington,Acoustix,David Harrington,Medium,02:00,,,Medium,Maybe the Sun gave me the pow'r …
432,Almost There,F,Aaron Dale,--,Tim Waurick,--,03:06,,,,Ain't got time for dancin' …
13,Always,G,Don Gray/Mark Hale,Michigan Jake,Chris Arnold,Ballad,03:35,2,Musical,Ballad,"Dreams will all come true, growing old with you …"
369,Angel Eyes,Fm,Hal Maples,Crossroads,Tim Waurick,Ballad,02:46,,,Ballad,Doo … Try to think that love's not around …
191,Annie,G,Burt Szabo,--,Kohl Kitzmiller,Ballad,04:04,,,Ballad,The rainbow painted the sky today ...
467,Annie's Song,D,Pete Benson,PLATINUM,Tim Waurick,,02:43,,Country,,"Oooh, oooh ... You fill up my senses ..."
14,"Applause, Applause",F,Don Gray,Interstate Rivals,Shawn Thomas,Uptune,02:04,,,Uptune,"What is it that we’re livin’ for, applause …"
438,As Long As I'm Singin',D,David Wright,Vocal Spectrum,Tim Waurick,--,01:56,,,,dat dat dah dat … As long as I'm singin' …
15,As Time Goes By,D,Walter Latzko,Buffalo Bills,Chris Arnold,Ballad,,,,Ballad,This day and age we’re living in is filled …
16,"At The Close of A Long, Long Day",A,Jim Moore,--,Dealer's Choice,Ballad,,,,Ballad,"When you come to the end of a long, long, day …"
17,B&O Line,Eb,Bob Disney,B & O Connection,--,Uptune,01:44,,,Uptune,"Heading over valleys, arriving on time ..."
293,Baby Shoes,Bb,Lloyd Steinkamp,--,Dealer's Choice,Ballad,,,,Ballad,Imagine the love of a child for its toys ...
18,Back In Business,C,David Wright,Crossroads,Tim Waurick,Uptune,02:35,5,Movie,Uptempo,"Oh, just let the good times roll, let …"
19,Back In The Old Routine,Db,Greg Backwell,Gentlemen's Agreement,DJ Hiner,Medium,,3,Barbershop Classics,Medium,"Remember the days, the old vaudeville craze ..."
386,Be Our Guest,B,Greg Volk,PLATINUM,Tim Waurick,Uptune,02:32,,Disney,,"Be our guest, be our guest …"
20,Being With You,Bb,Steve Delahanty,AHB,Simon Rylander,Uptune,03:03,4,Barbershop Classics,Uptune,I don’t need to be a millionaire! I don't need …
441,Between the Devil and the Deep Blue Sea,F,David Wright,Ringmasters,Tim Waurick,--,03:44,,,,Is there anyone around who cannot see …
370,Between You and the Birds and the Bees and Cupid,G,Aaron Dale,Throwback,Tim Waurick,Uptune,02:13,,,Uptune,"Da, da da … Between you and the birds …"
21,"Bill Bailey, Won't You Please Come Home?",G,Ed Waesche,Second Edition,--,Uptune,02:51,,,Uptune,Ooh ooh ooh ooh … 'Twas on a summer's day …
22,Birth of the Blues,Bb,Roger Payne,BSQ,Tim Brooks,Medium,03:29,4,Standard,Medium,Ya know that I … I asked my pappy and he said …
387,Blackbird,F#,Emanuel Roll,Ringmasters,Emanuel Roll,Medium,03:01,,,,"Bm, Bm, Bm ... Blackbird singing in the ..."
23,Blackbird Medley,G,Gary Parker,Dealer's Choice,Sean Milligan,Uptune,03:08,,,Uptune,Pack up all my cares and woes here I go …
24,Blue Skies,Gb,Clay Hine,Keepsake,Tim Waurick,Uptune,02:16,4,Musical,Uptune,"Blue skies, blue skies are comin’ my way …"
25,Blue Velvet,C,Curt Kimball,Keepsake,Simon Rylander,Ballad,02:57,3,Standard,Ballad,"She wore blue velvet, woh woh who …"
26,"Blue, Turning Grey Over You",C#,David Wright,Jokers Wild,Tim Brooks,Ballad,,,,Ballad,"What will I do for sunshine, with nothing …"
7,Bright Was the Night,Em,David Wright,Gas House Gang,Tim Waurick,Ballad,03:24,4,Barbershop Classics,Ballad,"Saw her standing there, moonbeams in her hair ..."
27,Broadway Rose,G,Dennis Burnett,--,--,Ballad,,2,Musical,Ballad,Just a faded rose in the twilight glow …
382,Brown Eyed Girl,G,Adam Scott,Forefront,Drew Wheaton,Uptune,03:02,2,,Uptune,Doo doo doo … Hey where did we go …
485,Burnin' the Roadhouse Down,A,Aaron Dale,Throwback,Kohl Kitzmiller,,02:31,,Country,,"The time's a wastin', there ain't no messin' …"
463,Bye Bye Love,Ab,Tom Gentry,--,Tim Waurick,,,,,,
286,"Bye Bye, Blues",E,SPEBSQSA,Suntones,Drew Wheaton,Uptune,02:13,,,Uptune,I've been so lonely and blue …
28,"Bye, Bye, Blues",G,Greg Volk,PLATINUM,Sean Milligan,Uptune,02:08,4,,Uptune,I got quite a surprise when I saw you smile …
402,Cabaret,Gb,Larry Wright,--,Larry Wright,,,,Musical,,"Come on chum, it's time for fun ..."
399,California Dreamin',Cm,Joe Johnson,--,Shawn Thomas,,03:12,2,Popular,,California dreamin' on this cold and rainy day …
327,Can You Feel the Love Tonight,Ab,June Dale,--,Sonny Vande Putte,Medium,03:26,2,Disney,Medium,Loo loo loo ... There's a calm surrender
401,Can't Help Falling in Love,F,Jon Nicholas,--,Simon Rylander,Medium,02:48,,,,Wise men say only fools rush in …
29,Careless,Eb,"Warren ""Buzz"" Haeger",PLATINUM,Sean Milligan,Ballad,03:15,,,Ballad,Love was the thing that you wanted …
30,Caroline I'm Coming Back To You,Eb,S. K. Grundy,--,Chuck Greene,Medium,,,,Medium,"Dear old Southland, I hear you call …"
31,Chances Are ,Bb,Greg Volk,Keepsake,Jordan Litz,Ballad,02:27,,,Ballad,"Doo, doo, doo, doo, doo … Chances are 'cause I …"
371,Change the World,E,Deke Sharon/David Wright,--,Tim Waurick,Medium,02:32,,Popular,Medium,Doo doo doo .. If I could reach the stars …
301,Chargoggagoggmanchauggagoggchaubunagungamaugg,G,Walter Latzko,Bluegrass Student Union,Matthew Curtis,Novelty,,,,,There's a lake in Massachusetts …
336,Cheek to Cheek,C,Ed Waesche,--,Tim Waurick,Uptune,02:45,1,,Uptune,Dancing can be so much fun
439,Come Back To Me,F,Aaron Dale,Realtime,Aaron Dale,--,02:57,,,,Da bu dat da … Hear my voice where you are!
378,Come Fly With Me,Eb,Kevin Keller,OC Times,Tim Waurick,Uptune,01:54,4,,Uptune,"Come fly with me, let's fly …"
372,Come Follow the Band,D,Steve Tramack,Tim Waurick,Tim Waurick,Uptune,02:13,,,Uptune,Wah wah wah Come follow me …
59,Come On Get Happy,Bb,John Brockman,Realtime,Tim Waurick,Uptune,01:53,,,Uptune,Hello world hear the song that we're singin' ...
294,"Come, Josephine, In My Flying Machine",Bb,Burt Szabo,--,Dealer's Choice,Uptune,,,,Uptune,"Come Josephine in my flying machine, going up! ..."
32,Consider Yourself,Bb,James Millar,--,--,Medium,,,Musical,Medium,Consider yourself at home …
395,Covid-19 Blues,--,--,--,--,--,,5,,,Remembering those we have lost ...
33,Crazy 'Bout Ya Baby,A,Larry Wright,Revival,Larry Wright,Uptune,,,,Uptune,"Crazy, baby, I'm crazy yessiree …"
34,Crazy Little Thing Called Love,D,Aaron Dale,OC Times,--,Uptune,02:46,4,Popular,Uptune,"Ba ba da … This thing called love, I just …"
35,Creole Cutie,G,Glen Suduth/Bill Busby,--,Tim Brooks,Medium,,2,,Medium,"You’re my creole queen, you treat me so mean ..."
367,Cry,Bb,John von Haden,--,Randy Rogers,Medium,03:01,,,Medium,"Now and then, now and then, when love should ..."
36,Cuddle Up A Little Closer,C,Clay Hine,PLATINUM,Chris Arnold,Uptune,03:12,,,Uptune,I love you; you know I do. You are the one I …
37,Danny Boy,Eb,Renee Craig/Jim Clancy,--,Sean Milligan,Ballad,,,,Ballad,"Oh, Danny boy, the pipes, the pipes are …"
120,Daydream,C,Mel Knight,--,Tim Waurick,Medium,02:25,,,Medium,Ba doo ba doo  ... What a day for a daydream ...
39,"Dayton, Ohio, 1903",G,Nic Nichols,The Ritz,--,Medium,02:42,,,Medium,Bum bum Sing a song of long ago when things ...
40,Dear Hearts and Gentle People,Ab,Bill Mitchell,Boston Common,Daniel Schwartz,Uptune,01:24,,,Uptune,There's a place I'd like to be and it's back …
41,Desperado,G,Jeremy Johnson,The Eagles,Instant Classic,Medium,,,Popular,Medium,Maybe it`s useless to try to explain it; but ...
42,Dinah,Ab,David Wright,Michigan Jake,Sean Milligan,Uptune,04:05,4/5,,Swing,"Carolina, yes Carolina gave me Dinah, oh,  …"
43,Do You Know What It Means To Miss New Orleans,D,Don Gray,--,Tim Brooks,Medium,02:50,,,Medium,"Oh no I never had this kind-a feelin', with …"
44,Do You Remember When?,C,Advanced Arrangers Class,--,--,Medium,,2,Popular,Medium,"Sit back, relax and be our guest …"
10,"Don't Be a Baby, Baby",Ab,Rich Hasty,Gas House Gang,Tim Waurick,Medium,02:26,2,Barbershop Classics,Medium,"Bum Ba Dow Doo, Bum Ba Dow Doo ..."
45,Don't Blame Me,D,Lou Perry,Boston Common,Benjamin Brown,Medium,02:53,2,Barbershop Classics,Medium,Ever since that lucky night I found you …
472,Don't Know Why,Ab,Dan Wessler,After Hours,Tim Beutel,,,,,,
